STATION_ALIAS,STATIONNAME,STATIONID
Swanbank E Gas Turbine,Swanbank B Power Station & Swanbank E Gas Turbine,SWANBANK
Tahmoor Waste Coal Mine Gas Power Station,Tahmoor Waste Coal Mine Gas Power Station,TAHMOOR
Tallawarra Power Station,Tallawarra Power Station,TALLAWAR
Tamar Valley Combined Cycle Power Station,Tamar Valley Combined Cycle Power Station,TVCCPS
Tamar Valley Peaking  Power Station,Tamar Valley Combined Cycle Power Station,TVCCPS
Taralga Wind Farm,Taralga Wind Farm,TARALGA
Taralgon Network Support Station,Traralgon Network Support Station,TGNSS
Tarong North Power Station,Tarong North Power Station,TARONGN
Tarong Power Station,TARONG POWER STATION,TARONG
Tarraleah Power Station,Tarraleah Power Station,TARRALEA
Tas Reserve Trader,RESERVE TRADER TAS1,RT_TAS1
Tataria Bordertown Plant,Tataria Bordertown Plant,TATIARA
Tatiara Bordertown Plant,Tataria Bordertown Plant,TATIARA
Tatura Biomass Generator,Tatura Biomass Generator,TATURA
Tea Tree Gully Landfill Gas Power Station Unit 1,Tea Tree Gully Landfill Gas Power Station,TEATREE
Temporary Generation North,Temporary Generation North,SATGN
Temporary Generation South,Temporary Generation South,SATGS
Teralba Power Station,TERALBA POWER STATION,TERALBA
Terminal Storage Mini Hydro Power Station,Terminal Storage Mini Hydro Power Station,TERMSTOR
The Bluff Wind Farm,The Bluff Wind Farm,BLUFF
The Drop Hydro Unit 1,The Drop Power Station,THEDROP
The Drop Power Station,The Drop Power Station,THEDROP
Toora Wind Farm,TOORA WIND FARM,TOORAWF
Torrens Island Power Station,TORRENS ISLAND POWER STATION,TORRIS
"Torrens Island Power Station ""A""",TORRENS ISLAND POWER STATION,TORRIS
"Torrens Island Power Station ""B""",TORRENS ISLAND POWER STATION,TORRIS
Tower Power Plant,Tower Power Plant,TOWER
Townsville Gas Turbine,Townsville Gas Turbine,YABULU
Traralgon Network Support Station,Traralgon Network Support Station,TGNSS
Trevallyn Power Station,Trevallyn Power Station,TREVALLN
Tribute Power Station,Tribute Power Station,TRIBUTE
Tumut 1 Power Station,TUMUT1,TUMUT1
Tumut 2 Power Station,TUMUT2,TUMUT2
Tumut 3 Power Station,TUMUT3,TUMUT3
Tumut 3 Pumps,Tumut 3 Pumps,SNOWY
Tumut Power Station,Tumut Power Station,SNOWY2
Tumut3 Ancillary Services (pumps),Tumut 3 Pumps,SNOWY
Tungatinah Power Station,Tungatinah Power Station,TUNGATIN
Uranquinty Power Station,Uranquinty Power Station,URANQ
"Vales Point ""B"" Power Station","Vales Point ""B"" Power Station",VP
Valley Power Peaking Facility,Valley Power Peaking Facility,VPGS
Veolia Ti Tree Bio Reactor,Veolia Ti Tree Bio Reactor,TITREE
Vic Reserve Trader,RESERVE TRADER VIC1,RT_VIC1
Victoria Mill,Victoria Mill,VICMILL
"Wallerawang ""C"" Power Station",Wallerawang Power Station,WW
